place_id,name,address,lat,lng,rating,user_ratings_total,price_level,types,phone,website,opening_hours,business_status,anchor_area,search_type
ChIJy9b-v6Zz4ToRugWnWhLsGj8,Pedlar's Inn Cafe and Restaurant,"92 Pedlar's Street, Galle 80000, Sri Lanka",6.026106,80.2164153,4.5,3193.0,2.0,"establishment, food, point_of_interest, restaurant",0912 225 333,http://pedlarsinncafe.com/,"Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 12:00 PM, 1:30 – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM",OPERATIONAL,Galle Fort,restaurant
ChIJ2TqOXaZz4ToRMjcYKMO60gE,Fort Fifty Inn Guest House & Restaurant,"50 Leyn Baan St, Galle 80000, Sri Lanka",6.026026,80.2186897,3.7,109.0,,"establishment, food, lodging, point_of_interest, restaurant",074 123 2377,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,OPERATIONAL,Galle Fort,restaurant
ChIJCZZdp7tz4ToRUU82jjTGM68,KFC - Galle,"10 Wakwella Rd, Galle 80000, Sri Lanka",6.035171399999999,80.2171281,3.5,2305.0,2.0,"establishment, food, point_of_interest, restaurant",0912 233 247,,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant
ChIJf1nWzqZz4ToRrs3iEowxVJw,Cafe Hula Hula,"29b Rampart St, Galle 80000, Sri Lanka",6.0257485,80.21589879999999,3.8,365.0,2.0,"establishment, food, point_of_interest, restaurant",,,,CLOSED_TEMPORARILY,Galle Fort,restaurant
ChIJj1KrhaZz4ToRCIdXqUVnpig,Fort Bazaar,"Fort Bazaar, 26 පල්ලිය පාර, ගාල්ල 80000, Sri Lanka",6.026844,80.217685,4.6,511.0,,"establishment, food, lodging, point_of_interest, restaurant, spa",077 363 8381,https://www.teardrop-hotels.com/fort-bazaar/?utm_source=google&utm_medium=GMB&utm_campaign=FortBazaar,,OPERATIONAL,Galle Fort,restaurant
ChIJIVCshaZz4ToRzoBLr_F2SXs,"Church Street Social, Galle Fort","26 Church St, Galle 80000, Sri Lanka",6.026832,80.21769599999999,4.2,259.0,,"bar, establishment, food, point_of_interest, restaurant",077 007 2597,https://www.teardrop-hotels.com/fort-bazaar/church-street-social/?utm_source=google&utm_medium=GMB&utm_campaign=church+street+social,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,OPERATIONAL,Galle Fort,restaurant
ChIJq6qqqsZz4ToR0AKTSKoYiNc,The Heritage Cafe & Bistro,"54 Pedlar St, Galle 80000, Sri Lanka",6.0260373,80.217112,4.2,893.0,2.0,"cafe, establishment, food, point_of_interest, restaurant",0912 239 907,https://www.heritagecafeandbistro.com/,Monday: 8:00 AM – 10:30 PM | Tuesday: 8:00 AM – 10:30 PM | Wednesday: 8:00 AM – 10:30 PM | Thursday: 8:00 AM – 10:30 PM | Friday: 8:00 AM – 10:30 PM | Saturday: 8:00 AM – 10:30 PM | Sunday: 8:00 AM – 10:30 PM,OPERATIONAL,Galle Fort,restaurant
ChIJ-eGck6Zz4ToRewWhWUmfEAc,Secret Garden Fort,"66 Pedlar St, Galle 80000, Sri Lanka",6.0260604,80.2172363,3.8,290.0,,"establishment, food, lodging, point_of_interest, restaurant",076 682 5359,,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,OPERATIONAL,Galle Fort,restaurant
ChIJXQZBsKZz4ToR_v-FTu9f6Z0,Lucky Fort Restaurant And Cooking Class And Boat Rides,"07 Parawa St, Galle 80000, Sri Lanka",6.026376,80.216021,4.7,697.0,1.0,"establishment, food, point_of_interest, restaurant",0912 242 922,https://luckyfortgalle.com/,Monday: 12:00 – 9:00 PM | Tuesday: 12:00 – 9:00 PM | Wednesday: 12:00 – 9:00 PM | Thursday: 12:00 – 9:00 PM | Friday: 12:00 – 9:00 PM | Saturday: Closed | Sunday: Closed,OPERATIONAL,Galle Fort,restaurant
ChIJ-1jJTqZz4ToRN8Sbynkney4,Elita Restaurant,"34 Middle St, Galle 80000, Sri Lanka",6.028275499999999,80.2157027,4.3,971.0,2.0,"establishment, food, point_of_interest, restaurant",077 242 3442,https://m.facebook.com/elita.restaurant/,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,Galle Fort,restaurant
